Word,Count
trang,1809
đoạn,1657
chọn,1289
giải,629
thích,579
bôi,388
đen,382
slide,337
tôi,302
tóm,243
bạn,240
tắt,236
học,200
model,164
agent,164
bài,161
sao,131
llm,129
chatbot,129
thể,125
cần,120
liệu,109
toàn,103
dung,102
chính,98
prompt,98
hãy,98
câu,97
định,96
chỉ,95
theo,93
nội,92
trả,91
hơn,91
những,90
tool,90
giảng,87
dùng,82
thành,82
tài,81
lời,78
chi,78
viên,77
lại,75
cách,74
phần,73
viết,71
bước,69
nhiều,68
token,68
react,68
thống,67
nay,65
hạn,64
trợ,62
phải,61
pdf,61
hỏi,61
hiểu,58
khác,58
output,57
tải,57
toán,56
biết,55
quan,54
sinh,54
hôm,54
the,54
kiến,54
hợp,53
thức,53
day,52
rồi,51
con,51
người,51
tiết,50
xác,49
shot,49
động,48
hình,48
đang,48
đọc,48
đầu,47
tiếp,47
context,47
nhưng,47
tại,46
quyết,46
tổng,46
cái,46
thực,45
ngày,45
đúng,45
mỗi,44
bản,43
giới,43
trọng,42
việc,42
nghĩa,42
gọi,41
phân,41
vào,40
hiện,40
trên,40
calling,40
nói,40
vấn,40
nhiệm,39
rule,39
hello,39
ngữ,38
format,38
chưa,38
từng,38
bằng,38
công,38
giá,38
product,38
learning,38
nhất,37
điểm,37
thứ,37
bot,37
tin,37
nên,36
thông,36
loop,35
dụng,35
transformer,34
nhìn,33
sau,33
trình,33
quả,32
tốt,32
pháp,32
api,32
gia,32
nếu,31
lượng,31
sai,31
máy,31
task,30
bàn,30
môn,30
user,30
tính,30
vậy,30
thuật,29
hành,29
kết,29
mọi,29
muốn,29
tạo,29
riêng,29
mới,28
đổi,28
quá,28
blue,28
chuyên,27
kiểm,27
note,27
bên,26
vinuni,26
khóa,26
trước,26
gpt,26
xem,25
thật,25
đoán,25
đâu,25
cầu,25
trúc,25
năng,25
cảnh,24
cùng,24
code,24
based,24
phí,24
buổi,24
engineering,24
mắt,24
day01,24
xuất,24
chatgpt,24
mật,24
role,23
tìm,23
2026,23
problem,23
attention,23
đưa,22
thường,22
lần,22
sách,22
qua,22
file,22
hết,22
tầng,22
hoạt,22
zero,22
