Cluster,Keywords,Examples
0,"41, trang 41, 41 đoạn, othello, othello gpt, gpt, trang, đoạn, giải, giải thích, thích, đen, nghiệm, đen trang, đoạn bôi","(Trang 41, đoạn được chọn: ""Rule / Workflow / Agent
Phân tích cấp độ giải pháp. Cấp độ tối ưu là cấp độ đơn giản nhất đủ để giải quyết bài
toán"")
Giải thích đoạn bôi đen ở Trang 41.

(Trang 41, đoạn được chọn: ""Othello-GPT"")
Giải thích đoạn bôi đen ở Trang 41.

(Trang 41, đoạn được chọn: ""Thí nghiệm Othello-GPT:"")
Giải thích đoạn bôi đen ở Trang 41: ""Thí nghiệm Othello-GPT:""

(Trang 41, đoạn được chọn: ""đáng tin
Kéo đến trang này để mở note ri"")
Giải thích đoạn bôi đen ở Trang 41.

(Trang 41, đoạn được chọn: ""Câu hỏi: đoán được nước đi tiếp theo không?"")
Giải thích đoạn bôi đen ở Trang 41."
1,"agentic, chọn agentic, agentic fit, fit, trang đoạn, thích, đoạn, trang, từ chatbot, đoạn bôi, đen trang, thích đoạn, bôi đen, đen, bôi","(Trang 4, đoạn được chọn: ""Agentic Fit"")
Giải thích đoạn bôi đen ở Trang 4.

(Trang 7, đoạn được chọn: ""Giải thích đoạn bôi đen ở Trang 3: ""Day03-D302-tu-chatbot-den-agentic-agent-react.pdf"""")
Giải thích đoạn bôi đen ở Trang 3: ""Day03-D302-tu-chatbot-den-agentic-agent-react.pdf""

(Trang 4, đoạn được chọn: ""Hãy giải thích cho tôi ngắn gọn trọng tâm về việc dùng Agentic Fit để biết khi nào nên nâng từ chatbot lên agent"")
Hãy giải thích cho tôi ngắn gọn trọng tâm về việc dùng Agentic Fit để biết khi nào nên nâng từ chatbot lên agent

(Trang 4, đoạn được chọn: ""Agentic Fit"")
là gì ?

(Trang 1, đoạn được chọn: ""Từ Chatbot Đến Agentic Ag"")
Giải thích đoạn bôi đen ở Trang 1."
2,"tóm, tóm tắt, tắt, chọn tóm, slide, này, nội, nội dung, dung, tắt slide, chính, slide này, tắt toàn, tắt nội, toàn bộ","(Trang 37, đoạn được chọn: ""tóm tắt nội dung chính trong slide này"")
tóm tắt nội dung chính trong slide này

(Trang 50, đoạn được chọn: ""tóm gọn những nội dung quan trọng nhất trong day 04 này"")
tóm gọn những nội dung quan trọng nhất trong day 04 này

(Trang 1, đoạn được chọn: ""tóm tắt"")
tóm tắt

(Trang 49, đoạn được chọn: ""tóm tắt toàn bộ slide sau đó đưa ra các ý chính"")
tóm tắt toàn bộ slide sau đó đưa ra các ý chính 

(Trang 5, đoạn được chọn: ""tóm tắt hết slice trong vài câu đi"")
tóm tắt hết slice trong vài câu đi"
3,"là gì, gì, là, được, đoạn, chọn, được chọn, trang, đoạn được, trang đoạn, nghĩa là, nghĩa, react là, react, đây là","(Trang 31, đoạn được chọn: ""Context"")
""Context"" là gì

(Trang 2, đoạn được chọn: ""Designt Pattern ReAct là gì có lưu ý gì về nó?"")
Designt Pattern ReAct là gì có lưu ý gì về nó?

(Trang 62, đoạn được chọn: ""Tool calling"")
tool calling là gì

(Trang 14, đoạn được chọn: ""Temp"")
là gì

(Trang 3, đoạn được chọn: ""harness engineering là gì"")
harness engineering là gì"
4,"trang, đoạn, đen, đen trang, đoạn bôi, thích đoạn, bôi đen, bôi, giải thích, giải, thích, trang đoạn, được, đoạn được, được chọn","(Trang 15, đoạn được chọn: ""instruction"")
Giải thích đoạn bôi đen ở Trang 15.

(Trang 17, đoạn được chọn: ""Format: Output trông như thế nào?"")
Giải thích đoạn bôi đen ở Trang 17.

(Trang 96, đoạn được chọn: ""Giải thích đoạn bôi đen ở Trang 63: ""quest, chạy tool, rồi gửi kết quả trở lại model."""")
Giải thích đoạn bôi đen ở Trang 63: ""quest, chạy tool, rồi gửi kết quả trở lại model.""

(Trang 1, đoạn được chọn: ""heloo"")
heloo

(Trang 12, đoạn được chọn: ""Reasoning"")
Giải thích đoạn bôi đen ở Trang 12: ""Reasoning"""
5,"model, nào, bạn, là, bạn là, của, là ai, ai, model nào, được, của bạn, trang, là model, chọn bạn, chọn","(Trang 1, đoạn được chọn: ""bạn là model của hãng nào"")
bạn là model của hãng nào

(Trang 5, đoạn được chọn: ""bạn được tạo ra từ LLM nào"")
bạn được tạo ra từ LLM nào

(Trang 1, đoạn được chọn: ""Bạn dùng API của bên nào ?"")
Bạn dùng API của bên nào ? 

(Trang 56, đoạn được chọn: ""Mỗi năm có hàng chục model đáng chú ý — đừng học thuộc tên, hãy học quỹ đạo"")
Giải thích đoạn bôi đen ở Trang 56: ""Mỗi năm có hàng chục model đáng chú ý — đừng học thuộc tên, hãy học quỹ đạo""

(Trang 4, đoạn được chọn: ""Mục tiêu của buổi này là hiểu cơ chế: prompt là interface giữa human intent và model
behavior; tool calling là interface giữa model và thế giới bên ngoài."")
Giải thích đoạn bôi đen ở Trang 4: ""Mục tiêu của buổi này là hiểu cơ chế: prompt là interface giữa human intent và model
behavior; tool calling là interface giữa model và thế giới bên ngoài."""
6,"trang, đoạn, được, chọn, được chọn, đoạn được, ai, trang đoạn, giải, thích, giải thích, không, có, hi, và","(Trang 45, đoạn được chọn: ""giải thích 4 chiến lược"")
giải thích 4 chiến lược

(Trang 50, đoạn được chọn: ""kỹ thuật tối ưu prompt, cơ chế gọi tool và cách xử lý ngữ cảnh"")
kỹ thuật tối ưu prompt, cơ chế gọi tool và cách xử lý ngữ cảnh

(Trang 52, đoạn được chọn: ""cách xử lý ngữ cảnh"")
cách xử lý ngữ cảnh

(Trang 25, đoạn được chọn: ""điêu toa"")
điêu toa

(Trang 25, đoạn được chọn: ""tại sao có lưu ý như trang 25"")
tại sao có lưu ý như trang 25"
7,"trang 11, 11, học, giải quyết, quyết thế, dùng ai, quyết, k3 k4, k4, k4 số, lượng trợ, hạn dùng, học 1000, viên khóa, lớp học","(Trang 11, đoạn được chọn: ""Lớp học 1000 học viên (khóa K3 & K4, số lượng Trợ giảng
có hạn.
Dùng AI giải quyết thế nào?"")
Giải thích đoạn bôi đen ở Trang 11.

(Trang 11, đoạn được chọn: ""Lớp học 1000 học viên (khóa K3 & K4, số lượng Trợ giảng
có hạn.
Dùng AI giải quyết thế nào"")
Lớp học 1000 học viên (khóa K3 & K4, số lượng Trợ giảng có hạn. Dùng AI giải quyết thế nào

(Trang 11, đoạn được chọn: ""Lớp học 1000 học viên (khóa K3 & K4, số lượng Trợ giảng
có hạn.
Dùng AI giải quyết thế nào?"")
Giải thích đoạn bôi đen ở Trang 11.

(Trang 11, đoạn được chọn: ""Lớp học 1000 học viên (khóa K3 & K4, số lượng Trợ giảng
có hạn.
Dùng AI giải quyết thế nào?
V I Ế T C Â U T R Ả L Ờ I L Ê N D I S C O R D — 5 P H Ú T"")
giải quyết như napf?

(Trang 11, đoạn được chọn: ""Lớp học 1000 học viên (khóa K3 & K4, số lượng Trợ giảng
có hạn.
Dùng AI giải quyết thế nào?"")
Bạn trả lời câu hỏi này đi"
8,"chatbot, viết prompt, nào, prompt cho, viết, expertise level, expertise, phần role, context hệ, trợ sinh, role chatbot, thể là, level task, gì context, đăng ký","(Trang 17, đoạn được chọn: ""Bạn cần viết prompt cho chatbot hỗ trợ sinh viên VinUni đăng ký môn học.
Xác định 4 thành phần:
■ Role: Chatbot là ai? Expertise level?
■ Task: Nhiệm vụ cụ thể là gì?
■ Context: Hệ thống nào? Giới hạn gì?
■ Format: Output trông như thế nào?"")
Kĩ thuật viết prompt này

(Trang 15, đoạn được chọn: ""Bạn cần viết prompt cho chatbot hỗ trợ sinh viên VinUni đăng ký môn học.
Xác định 4 thành phần:
■ Role: Chatbot là ai? Expertise level?
■ Task: Nhiệm vụ cụ thể là gì?
■ Context: Hệ th"")
viết prompt

(Trang 17, đoạn được chọn: ""Bạn cần viết prompt cho chatbot hỗ trợ sinh viên VinUni đăng ký môn học.
Xác định 4 thành phần:
■ Role: Chatbot là ai? Expertise level?
■ Task: Nhiệm vụ cụ thể là gì?
■ Context: Hệ thống nào? Giới hạn gì?
■ Format: Output trông như thế nào?
Thảo luận với người bên cạnh. Chia sẻ 1–2 ví dụ sau 2 phút."")
Giải thích đoạn bôi đen ở Trang 17: ""Bạn cần viết prompt cho chatbot hỗ trợ sinh viên VinUni đăng ký môn học.
Xác định 4 thành phần:
■ Role: Chatbot là ai? Expertise level?
■ Task: Nhiệm vụ cụ thể là gì?
■ Context: Hệ thống nào? Giới hạn gì?
■ Format: Output trông như thế nào?
Thảo luận với người bên cạnh. Chia sẻ 1–2 ví dụ sau 2 phút.
Giảng viên (VinUni) AICB · Ngày 4 Tuần 1 14 / 84""

(Trang 15, đoạn được chọn: ""Bạn cần viết prompt cho chatbot hỗ trợ sinh viên VinUni đăng ký môn học.
Xác định 4 thành phần:
■ Role: Chatbot là ai? Expertise level?
■ Task: Nhiệm vụ cụ thể là gì?
■ Context: Hệ thống nào? Giới hạn gì?
■ Format: Output trông như thế nào?"")
Giải thích đoạn bôi đen ở Trang 15.

(Trang 15, đoạn được chọn: ""ạn cần viết prompt cho chatbot hỗ trợ sinh viên VinUni đăng ký môn học.
Xác định 4 thành phần:
■ Role: Chatbot là ai? Expertise level?
■ Task: Nhiệm vụ cụ thể là gì?
■ Context: Hệ thống nào? Giới hạn gì?
■ Format: Output trông như thế nào?"")
ạn cần viết prompt cho chatbot hỗ trợ sinh viên VinUni đăng ký môn học. Xác định 4 thành phần: ■ Role: Chatbot là ai? Expertise level? ■ Task: Nhiệm vụ cụ thể là gì? ■ Context: Hệ thống nào? Giới hạn gì? ■ Format: Output trông như thế nào?"
9,"tôi, slide, cho tôi, cho, bạn, tải, về, này, tài liệu, tài, thích slide, được, liệu, trang, không","(Trang 2, đoạn được chọn: ""đưa file tài liệu đây để tải"")
đưa file tài liệu đây để tải

(Trang 2, đoạn được chọn: ""Giúp tôi viết summary chi tiết và đầy đủ nhất về toàn bộ slide bài giảng ngày hôm nay"")
Giúp tôi viết summary chi tiết và đầy đủ nhất về toàn bộ slide bài giảng ngày hôm nay

(Trang 44, đoạn được chọn: ""bạn đọc được nội dung slide ko , giải thích cho mình slide 44"")
bạn đọc được nội dung slide ko , giải thích cho mình slide 44

(Trang 1, đoạn được chọn: ""Xin chào hôm này của bạn thế nào bạn đã sẵn sàng để giúp tôi học bài này tốt nhất chưa bot kute"")
Xin chào hôm này của bạn thế nào bạn đã sẵn sàng để giúp tôi học bài này tốt nhất chưa bot kute

(Trang 26, đoạn được chọn: ""lấy văn bản trong trang 26 cho tôi"")
lấy văn bản trong trang 26 cho tôi"
